title,genres,mood
Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,excited
Jumanji (1995),Adventure|Children|Fantasy,excited
Grumpier Old Men (1995),Comedy|Romance,happy
Waiting to Exhale (1995),Comedy|Drama|Romance,happy
Father of the Bride Part II (1995),Comedy,happy
Heat (1995),Action|Crime|Thriller,energetic
Sabrina (1995),Comedy|Romance,happy
Tom and Huck (1995),Adventure|Children,excited
Sudden Death (1995),Action,energetic
GoldenEye (1995),Action|Adventure|Thriller,energetic
"American President, The (1995)",Comedy|Drama|Romance,happy
Dracula: Dead and Loving It (1995),Comedy|Horror,happy
Balto (1995),Adventure|Animation|Children,excited
Nixon (1995),Drama,sad
Cutthroat Island (1995),Action|Adventure|Romance,energetic
Casino (1995),Crime|Drama,sad
Sense and Sensibility (1995),Drama|Romance,sad
Four Rooms (1995),Comedy,happy
Ace Ventura: When Nature Calls (1995),Comedy,happy
Money Train (1995),Action|Comedy|Crime|Drama|Thriller,energetic
Get Shorty (1995),Comedy|Crime|Thriller,happy
Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,sad
Assassins (1995),Action|Crime|Thriller,energetic
Powder (1995),Drama|Sci-Fi,sad
Leaving Las Vegas (1995),Drama|Romance,sad
Othello (1995),Drama,sad
Now and Then (1995),Children|Drama,sad
Persuasion (1995),Drama|Romance,sad
"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,excited
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,sad
Dangerous Minds (1995),Drama,sad
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,tense
Babe (1995),Children|Drama,sad
Dead Man Walking (1995),Crime|Drama,sad
It Takes Two (1995),Children|Comedy,happy
Clueless (1995),Comedy|Romance,happy
"Cry, the Beloved Country (1995)",Drama,sad
Richard III (1995),Drama|War,sad
Dead Presidents (1995),Action|Crime|Drama,energetic
Restoration (1995),Drama,sad
Mortal Kombat (1995),Action|Adventure|Fantasy,energetic
To Die For (1995),Comedy|Drama|Thriller,happy
How to Make an American Quilt (1995),Drama|Romance,sad
Seven (a.k.a. Se7en) (1995),Mystery|Thriller,tense
Pocahontas (1995),Animation|Children|Drama|Musical|Romance,sad
When Night Is Falling (1995),Drama|Romance,sad
"Usual Suspects, The (1995)",Crime|Mystery|Thriller,tense
Mighty Aphrodite (1995),Comedy|Drama|Romance,happy
Lamerica (1994),Adventure|Drama,excited
"Big Green, The (1995)",Children|Comedy,happy
Georgia (1995),Drama,sad
Home for the Holidays (1995),Drama,sad
"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,happy
"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,excited
Eye for an Eye (1996),Drama|Thriller,sad
Mr. Holland's Opus (1995),Drama,sad
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,happy
Two if by Sea (1996),Comedy|Romance,happy
Bio-Dome (1996),Comedy,happy
Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,energetic
French Twist (Gazon maudit) (1995),Comedy|Romance,happy
Friday (1995),Comedy,happy
From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,energetic
Fair Game (1995),Action,energetic
